Название книги,Имя автора,Издательство,Цена,Старая цена,Скидка
Язык программирования C# 9 и платформа .NET 5: основные принципы и практики программирования,"Троелсен Эндрю, Джепикс Филипп",Диалектика,6 451,10 752,40
Этичный хакинг. Практическое руководство по взлому,Грэм Дэниел Г.,Питер:Библиотека программиста,2 255,2 891,22
Основы построения экономических моделей в Excel. Учебник для СПО,"Воскобойников Юрий Евгеньевич, Мухина Ирина Николаевна",Лань:Компьютеры и программное обеспечение,2 404,Нету старой цены,Нету скидки
Программирование на языке Си.Учебное пособие для СПО,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,3 932,Нету старой цены,Нету скидки
JavaScript.Как писать программы.Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2 842,Нету старой цены,Нету скидки
JavaScript.Как писать программы Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2 842,Нету старой цены,Нету скидки
Построение распределенных систем на базе WebSocket. Учебное пособие для вузов,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань:Компьютеры и программное обеспечение,3 041,Нету старой цены,Нету скидки
Svelte и Sapper в действии,Волкманн Марк,Питер:Для профессионалов,4 197,5 381,22
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин Вячеслав Николаевич, Сахнов Константин Сергеевич",Бомбора:Российский компьютерный бестселлер,1 388,Нету старой цены,Нету скидки
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин Вячеслав Николаевич, Сахнов Константин Сергеевич",Бомбора:Российский компьютерный бестселлер,1 388,Нету старой цены,Нету скидки
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1 925,3 209,40
,,,0,Нету старой цены,Нету скидки
Структуры данных в Python. Начальный курс,Шихи Дональд Р.,ДМК-Пресс,1 508,2 513,40
Большая книга проектов Python,Свейгарт Эл,Питер,1 688,2 164,22
System Design. Подготовка к сложному интервью,Сюй Алекс,Питер,1 404,1 800,22
Отзывчивый дизайн на HTML5 и CSS3 для любых устройств,Фрэйн Бен,Питер,2 268,2 908,22
Глубокое обучение с подкреплением. Теория и практика на языке Python,"Грессер Лаура, Кенг Ван Лун",Питер:Библиотека программиста,2 540,3 256,22
Искусство WebAssembly. Создание безопасных межплатформенных высокопроизводительных приложений,Баттальини Рик,ДМК-Пресс,1 676,2 793,40
Микросервисы Spring в действии,"Карнелл Джон, Санчес Иллари Уайлупо",ДМК-Пресс,3 016,5 026,40
Осваиваем архитектуру Transformer. Разработка современных моделей с помощью передовых методов,"Йылдырым Саваш, Асгари-Ченаглу Мейсам",ДМК-Пресс,2 512,4 187,40
Основы юзабилити-тестирования,Барнум Кэрол М.,ДМК-Пресс,3 016,5 026,40
Творческие проекты с микроконтроллером в среде TinyGo и WebAssembly,Тил Тобиас,ДМК-Пресс,1 841,3 069,40
Вычисления в кольцах некоммутативных многочленов. Учебное пособие для вузов,Цирулик Владимир Григорьевич,Лань:Компьютеры и программное обеспечение,4 170,Нету старой цены,Нету скидки
Практический анализ двоичных файлов,Эндриесс Дэннис,ДМК-Пресс,2 848,4 746,40
,,,0,Нету старой цены,Нету скидки
Изучаем C# через разработку игр на Unity,Ферроне Харрисон,Питер:Библиотека программиста,1 830,2 346,22
Основы алгоритмизации и программирования на языке Паскаль. Лабораторный практикум. Учебное пособие,Коренская Ирина Николаевна,Лань:Компьютеры и программное обеспечение,1 647,Нету старой цены,Нету скидки
Исследование операций. Том 1. Линейное программирование. Учебник для вузов,Трушков Александр Сергеевич,Лань:Компьютеры и программное обеспечение,3 059,Нету старой цены,Нету скидки
Как программировать на С,"Дейтел Харви, Дейтел Пол Дж.",Бином,2 889,Нету старой цены,Нету скидки
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора:Российский компьютерный бестселлер,1 928,Нету старой цены,Нету скидки
Apache Airflow и конвейеры обработки данных,"Харенслак Бас, Руйтер Джулиан де",ДМК-Пресс,3 184,5 306,40
Python для всех,Северанс Чарльз Р.,ДМК-Пресс,1 172,1 953,40
Использование языка Python в теории вероятности. Учебник,Криволапов Сергей Яковлевич,Прометей,1 774,2 957,40
Экономика на Python. Учебник,"Хрипунова Марина Борисовна, Губернаторов Алексей Михайлович",Прометей,1 291,2 151,40
Black Hat Python. Программирование для хакеров и пентестеров,"Зейтц Джастин, Арнольд Тим",Питер:Библиотека программиста,1 688,2 164,22
Однострочники Python. Лаконичный и содержательный код,Майер Кристиан,Питер:Библиотека программиста,1 688,2 164,22
Гид Java-разработчика. Проектно-ориентированный подход,"Урма Рауль-Габриэль, Уорбэртон Ричард",Бомбора:Мировой компьютерный бестселлер,1 122,Нету старой цены,Нету скидки
"PHP 8. Объекты, шаблоны и методики программирования",Зандстра Мэтт,Диалектика,4 840,8 066,40
Python и DevOps. Ключ к автоматизации Linux,Гифт Ной и др.,Питер:Бестселлеры O`Reilly,2 561,3 283,22
Прикладное программирование на С/С++: с нуля,Иванов Всеволод Борисович,Солон-пресс:Программирование,838,1 397,40
Введение в логическое программирование,"Дженесерет Майкл, Чаудри Винай К.",ДМК-Пресс,1 508,2 513,40
Параллельное программирование на C# и .NET Core,Шакти Танвар,ДМК-Пресс,1 758,2 930,40
Разработка игр на языке JavaScript. Учебное пособие,Беляев Сергей Алексеевич,Лань:Компьютеры и программное обеспечение,717,Нету старой цены,Нету скидки
Параллельные и высокопроизводительные вычисления,"Роби Роберт, Замора Джулиана",ДМК-Пресс,4 187,6 979,40
Исследование операций в экономике. Практикум. Учебное пособие для вузов,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,3 932,Нету старой цены,Нету скидки
"Паттерны разработки на Python. TDD, DDD и событийно-ориентированная архитектура","Персиваль Гарри, Грегори Боб",Питер:Для профессионалов,2 127,2 727,22
WebAssembly в действии,Галлан Жерар,Питер:Библиотека программиста,2 823,3 619,22
